i_id,商品名称,sku_id,sku名称,规格属性,条码,成本价,售价,重量(kg),长(cm),宽(cm),高(cm),库存数量,品牌,供应商,标签,类目,图片URL,状态,来源接口
N201205-C01,小火箭滑梯侧板,N201205-C01S06,小火箭滑梯侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N201205-C02,小火箭滑梯短杆,N201205-C02S06,小火箭滑梯短杆,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120701-C,公主鹿滑梯侧板,N20120701-CS06,公主鹿滑梯侧板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120702-C01,5号上扶手-A,N20120702-C01S13,5号上扶手-A,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120702-C02,5号上扶手-B,N20120702-C02S13,5号上扶手-B,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120703-C01,5号下扶手-A,N20120703-C01S15,5号下扶手-A,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120703-C02,5号下扶手-B,N20120703-C02S15,5号下扶手-B,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20120704-C,5号下滑道,N20120704-CS05,5号下滑道,星海蓝,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122401-C01,封闭式挡板,N20122401-C01S06,封闭式挡板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122401-C02,封闭式洞板,N20122401-C02S06,封闭式洞板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122401-C03,架固板,N20122401-C03S06,架固板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122402-C,4号滑梯踏板瓢虫图案,N20122402-CS13,4号滑梯踏板瓢虫图案,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122603-C01,4号上扶手-A,N20122603-C01S13,4号上扶手-A,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122603-C02,4号上扶手-B,N20122603-C02S13,4号上扶手-B,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122604-C01,4号下扶手-A,N20122604-C01S15,4号下扶手-A,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122604-C02,4号下扶手-B,N20122604-C02S15,4号下扶手-B,溶月灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122605-C,4号上滑道,N20122605-CS06,4号上滑道,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N20122606-C,4号下滑道,N20122606-CS13,4号下滑道,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N201406-C,蜻蜓扶手,N201406-CS06,蜻蜓扶手,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N201415-C,公主车滑梯大板,N201415-CS10,公主车滑梯大板,海棠红,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N201611-C,围栏小熊门板,N201611-CS06,围栏小熊门板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210101-Z,三号注塑挡板,N210101-ZS06,三号注塑挡板,玉莲白,,,,,,,,,,,补发部件,半成品类 - 注塑部件,,启用,sku_query
N210201-C,折叠画板,N210201-CS13,折叠画板,暮云灰,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210202-C,二号画板外框,N210202-CS16,二号画板外框,萱草黄,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
N210203-C01,2号画板底座,N210203-C01S06,2号画板底座,玉莲白,,,,,,,,,,,补发部件,半成品类 - 吹塑部件,,启用,sku_query
